,Player,Year,Club
3399,Akim Zedadka,2016-2017,RC Lens
3400,Akim Zedadka,2018-2019,Marignane Gignac FC
3401,Akim Zedadka,2019-2022,Clermont Foot
3402,Akim Zedadka,2022-,LOSC Lille
3403,Akim Zedadka,2023,AJ Auxerre
3404,Akim Zedadka,2022-,Algérie
3405,Mathias Autret,2009-2010,Stade brestois 29
3406,Mathias Autret,2010-2015,FC Lorient
3407,Mathias Autret,2013-2014,SM Caen
3408,Mathias Autret,2015-2017,RC Lens
3409,Mathias Autret,2017-2020,Stade brestois 29
3410,Mathias Autret,2020-2023,AJ Auxerre
3411,Mathias Autret,2010,France -19 ans
3412,Lassine Sinayoko,2017-2019,AJ Auxerre
3413,Lassine Sinayoko,2019-,AJ Auxerre
3414,Lassine Sinayoko,2021-,Mali
3415,Gaëtan Perrin,2016-2017,Olympique lyonnais
3416,Gaëtan Perrin,2017-2021,US Orléans
3417,Gaëtan Perrin,2021-,AJ Auxerre
3418,Souleymane Touré,2010-2013,
3419,Souleymane Touré,2013-2014,
3420,Souleymane Touré,2014-2020,Le Havre AC
3421,Souleymane Touré,2020-2022,Le Havre AC
3422,Souleymane Touré,2022-,Olympique de Marseille
3423,Souleymane Touré,2023,AJ Auxerre
3424,Souleymane Touré,2019-2020,France -17 ans
3425,Souleymane Touré,2021-,France -19 ans
3426,Souleymane Touré,2023-,France -20 ans
3427,Ionu? Radu,2008-2012,Steaua Bucarest
3428,Ionu? Radu,2012-2013,Dinamo Bucarest
3429,Ionu? Radu,2013,US Pergolettese
3430,Ionu? Radu,2013-2016,Inter Milan
3431,Ionu? Radu,2016-2019,Inter Milan
3432,Ionu? Radu,2017-2018,US Avellino
3433,Ionu? Radu,2018-2019,Genoa CFC
3434,Ionu? Radu,2019,Genoa CFC
3435,Ionu? Radu,2019-,Inter Milan
3436,Ionu? Radu,2019-2020,Genoa CFC
3437,Ionu? Radu,2020,Parme Calcio
3438,Ionu? Radu,2022,US Cremonese
3439,Ionu? Radu,2023,AJ Auxerre
3440,Ionu? Radu,2017-2019,Roumanie espoirs
3441,Ionu? Radu,2022-,Roumanie
3442,Youssouf M'Changama,-2005,Olympique de Marseille
3443,Youssouf M'Changama,2005-2010,CS Sedan Ardennes
3444,Youssouf M'Changama,2010-2011,ES Troyes AC
3445,Youssouf M'Changama,2012-2013,Oldham Athletic
3446,Youssouf M'Changama,2013,RC Arbaâ
3447,Youssouf M'Changama,2014,ES Uzès
3448,Youssouf M'Changama,2014-2016,GS Consolat
3449,Youssouf M'Changama,2016-2018,Gazélec Ajaccio
3450,Youssouf M'Changama,2018-2019,Grenoble Foot 38
3451,Youssouf M'Changama,2019-2022,EA Guingamp
