 
,Player,Nation,Pos,Age,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Player,Nation,Pos,Age,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
Béni Makouana,cg CGO,FWMF,20-227,8,1,198,2.2,0,0,0,0,0,0,1,0,0.8,0.8,0.0,0.8,9,2,17,0.00,0.00,0.00,0.00,0.00,0.37,0.01,0.38,0.37,0.38,Matches,654f49ca
Matis Carvalho,pt POR,GK,24-015,2,1,136,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,8608f269
Cheikh Faye,sn SEN,FW,24-106,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,4b792f35
Axel Gueguin,fr FRA,FWMF,18-050,3,0,22,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,6,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,f6857b4f
Sacha Delaye,fr FRA,FWMF,21-020,3,0,20,0.2,1,0,1,1,0,0,0,0,0.1,0.1,0.0,0.1,1,1,0,4.50,0.00,4.50,4.50,4.50,0.31,0.00,0.31,0.31,0.31,Matches,e4448c8c
Pedro Mendes,pt POR,DF,32-224,1,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6690ef25
Téo Allix,fr FRA,DF,18-312,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,d609ec7d
Dimitry Bertaud,fr FRA,GK,24-341,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,380a15e2
Edvin Bongemba,fr FRA,MF,19-119,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,41da04f7
Redouane Halhal,ma MAR,DF,20-069,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,e17c2cec
Matéo Loubatieres,fr FRA,MF,19-240,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,419b3fd0
Thibault Tamas,fr FRA,DF,22-100,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,4a0c6555
Ryan Tchato Mbiayi,cm CMR,DF,18-242,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Matches,e1d8ee76
Maxime Dupé,fr FRA,GK,30-070,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,0e12089d
Anthony Rouault,fr FRA,DF,21-349,34,34,3044,33.8,2,1,3,2,0,0,4,1,3.3,3.3,0.8,4.1,10,122,6,0.06,0.03,0.09,0.06,0.09,0.10,0.02,0.12,0.10,0.12,Matches,9b545925
Stijn Spierings,nl NED,MF,27-062,33,32,2867,31.9,2,0,2,2,0,0,4,0,1.8,1.8,2.1,3.9,26,208,26,0.06,0.00,0.06,0.06,0.06,0.06,0.07,0.12,0.06,0.12,Matches,a08985b8
Branco van den Boomen,nl NED,MF,27-296,32,31,2745,30.5,5,8,13,1,4,4,6,0,5.9,2.8,7.6,10.4,39,290,98,0.16,0.26,0.43,0.03,0.30,0.20,0.25,0.44,0.09,0.34,Matches,99d660b2
Rasmus Nicolaisen,dk DEN,DF,26-058,31,31,2725,30.3,0,2,2,0,0,0,6,1,0.9,0.9,0.7,1.7,19,96,3,0.00,0.07,0.07,0.00,0.07,0.03,0.02,0.06,0.03,0.06,Matches,3f319bb9
Zakaria Aboukhlal,ma MAR,FWMF,23-084,34,27,2325,25.8,8,5,13,8,0,0,4,0,10.1,10.1,3.1,13.2,93,64,256,0.31,0.19,0.50,0.31,0.50,0.39,0.12,0.51,0.39,0.51,Matches,c2a6033c
